Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI
56,Male,81.8,1.81,163,126,69,1.16,488.4,Yoga,17.6,3.5,2,1,24.97
46,Female,70.8,1.69,175,132,69,1.02,484.0,Strength,36.1,2.7,2,1,24.79
32,Male,88.4,1.79,189,161,59,0.78,644.3,Strength,20.9,3.8,4,2,27.59
60,Female,91.7,1.75,165,137,62,0.8,386.9,Cardio,36.7,3.6,4,2,29.94
25,Female,94.4,1.74,195,136,53,1.46,635.3,Strength,39.3,4.0,6,3,31.18
38,Male,89.2,1.8,183,106,58,1.12,350.9,Strength,33.2,3.6,5,3,27.53
56,Male,79.8,1.77,164,152,77,0.4,260.2,Yoga,24.9,3.4,1,1,25.47
36,Female,55.0,1.68,183,130,56,1.29,618.8,Cardio,26.3,2.4,6,3,19.49
40,Male,85.3,1.84,181,158,82,0.41,314.4,Yoga,22.1,3.3,1,1,25.19
28,Female,72.1,1.69,191,158,63,0.68,421.5,Yoga,32.0,3.0,3,2,25.24
28,Male,71.2,1.73,192,176,72,0.6,554.5,HIIT,19.8,3.5,2,2,23.79
41,Male,84.6,1.78,182,137,56,1.16,663.5,Strength,23.0,3.6,5,3,26.7
53,Female,76.5,1.64,166,131,60,1.33,618.7,Strength,36.1,3.5,6,3,28.44
57,Male,75.7,1.87,164,127,78,1.31,536.9,Yoga,22.6,3.3,2,2,21.65
41,Female,59.5,1.66,172,127,59,1.18,540.0,Strength,29.2,2.7,5,3,21.59
20,Male,70.2,1.71,199,127,57,1.03,516.2,Strength,21.9,2.6,5,3,24.01
39,Female,68.4,1.75,180,107,52,1.02,317.3,Strength,28.1,2.7,5,3,22.33
19,Female,51.1,1.65,201,135,72,0.88,440.7,Yoga,24.7,2.0,2,1,18.77
41,Male,55.8,1.63,178,130,63,1.3,554.5,Strength,23.3,2.5,6,3,21.0
61,Female,58.3,1.7,159,106,71,0.93,322.1,Strength,29.2,2.4,4,3,20.17
47,Male,94.1,1.81,172,159,75,0.39,304.5,Cardio,25.1,3.3,2,1,28.72
55,Male,94.4,1.76,166,126,56,1.37,630.1,Strength,28.9,3.9,5,2,30.48
19,Male,70.7,1.85,196,163,57,0.71,590.2,Strength,16.4,2.6,6,2,20.66
38,Female,65.1,1.57,182,142,64,1.42,767.5,Yoga,35.4,3.0,3,2,26.41
