Steps,Active_Minutes,Sleep_Hours,RHR,HRV,Recovery_Score
6912,61,7.8,48,67,100
6151,54,7.0,57,47,94
12200,86,8.0,61,43,90
10403,87,9.0,65,55,100
8998,79,6.9,61,52,97
7009,52,6.9,55,48,94
8229,68,9.1,55,65,100
13436,101,8.1,48,69,100
9512,80,6.6,61,56,99
7945,59,7.9,48,77,100
12248,106,6.6,64,38,75
7842,74,6.6,64,52,98
4958,45,7.5,57,44,100
7850,65,4.9,63,27,44
11058,87,5.1,56,54,72
8991,68,6.5,62,53,96
8057,65,6.0,48,78,91
11764,91,7.6,48,64,100
12742,112,6.1,62,40,54
6543,66,5.5,49,83,86
8011,75,9.0,55,73,100
8792,76,6.9,52,64,100
7814,58,7.3,57,52,100
12683,99,5.5,68,41,39
9150,83,6.5,52,49,95
13904,97,7.3,50,71,100
11446,96,5.8,48,83,87
4422,63,7.7,50,78,100
9037,83,6.5,58,48,94
12693,110,6.8,64,38,81
8690,74,6.5,48,57,100
11384,98,9.4,66,28,71
14894,108,7.2,57,60,95
8210,76,5.9,54,53,80
7176,68,8.2,61,48,100
12299,99,5.7,69,31,39
5646,63,7.5,53,63,100
7993,63,4.8,61,47,53
4763,45,5.6,61,37,50
3298,37,7.4,73,15,55
5885,45,8.1,60,55,100
9778,82,7.4,48,82,100
11972,81,7.1,48,80,100
17996,143,6.8,61,48,74
8166,69,5.4,64,46,56
8270,65,6.3,48,62,82
12142,89,6.6,68,40,63
5367,48,8.5,54,60,100
12131,101,7.6,55,66,100
13478,109,5.1,55,73,74
6727,54,7.6,53,53,100
11823,87,6.7,56,52,100
12795,105,6.4,62,42,52
11328,84,7.9,59,43,100
12117,96,8.4,66,52,99
11561,93,8.3,52,61,100
7993,70,6.2,50,69,82
11372,97,6.8,63,43,90
18800,130,7.6,48,77,100
13844,92,8.4,58,51,100
13149,98,6.6,59,55,87
11162,103,7.0,61,44,86
15349,133,5.9,72,19,31
9846,95,5.8,50,68,80
7338,62,8.2,48,66,100
9750,65,8.8,60,51,100
9932,62,7.1,64,56,97
6760,55,8.4,54,63,100
8819,72,7.6,68,32,94
8480,81,6.4,63,47,63
7663,73,7.6,48,67,100
11933,96,9.0,72,36,93
6792,53,7.2,57,59,100
10303,76,9.1,72,35,72
11771,95,4.1,52,62,70
9709,85,8.2,65,54,100
10500,88,7.3,70,31,80
10509,76,6.8,53,72,100
4472,50,7.3,63,44,76
9083,78,4.8,61,43,53
11203,81,6.9,61,58,99
4755,40,7.6,51,72,100
8777,79,9.0,56,40,100
5483,49,6.6,53,56,91
12283,109,6.2,54,61,79
4782,50,6.6,55,65,94
14554,108,8.3,56,58,100
7186,62,7.6,65,49,100
9476,78,6.6,54,43,94
10354,78,7.8,58,56,100
11537,84,7.3,57,39,97
11674,98,8.4,77,15,75
7234,69,6.4,54,62,81
9933,86,6.8,54,69,100
4436,56,6.7,68,20,57
8107,64,5.4,69,40,54
11414,104,7.6,58,64,100
10026,74,7.5,48,86,100
12746,91,7.2,57,55,92
12827,86,6.9,64,44,75
9304,73,5.5,56,52,77
5315,46,6.7,53,76,100
6242,60,6.8,68,45,79
10490,86,6.2,67,43,56
13311,94,7.0,57,48,83
14489,108,7.7,65,41,92
7490,61,9.5,52,57,92
15477,103,7.4,50,79,100
7874,59,7.5,57,60,100
9358,71,7.1,52,51,100
8382,82,4.9,54,51,70
6746,61,7.2,66,32,85
10481,90,7.3,51,68,100
7331,51,10.2,53,54,96
13398,113,7.0,60,52,90
8695,83,7.6,48,103,100
15839,104,7.2,55,59,94
10704,80,5.8,59,44,61
6189,60,8.6,64,49,100
9325,82,8.1,57,72,100
9515,73,8.1,55,57,100
13952,105,6.1,64,33,54
9961,76,8.9,54,69,100
7667,66,5.5,60,45,62
10487,94,7.9,48,83,100
14248,103,9.8,54,71,96
9467,86,6.0,53,48,73
11442,85,6.5,55,74,100
7711,59,7.3,57,56,100
8939,81,6.6,51,68,100
6819,67,5.3,54,62,77
4492,51,7.3,63,42,78
6546,48,5.9,55,45,68
12731,96,7.8,57,70,100
10226,89,6.1,60,50,74
19472,145,9.1,62,49,70
7813,58,6.3,67,41,57
9429,81,6.8,51,61,100
8341,64,8.2,48,86,100
8356,85,5.7,63,39,61
7605,78,7.5,61,55,100
9390,82,8.8,48,76,100
4518,56,5.3,58,54,62
17385,131,7.4,52,62,91
18446,144,7.5,66,39,87
6346,69,8.1,57,61,100
12268,98,5.7,56,52,69
11416,89,5.6,49,70,88
15653,105,7.8,50,73,100
10976,87,7.6,48,94,100
4622,52,7.5,57,64,100
9497,85,7.6,54,60,100
6513,62,6.4,48,58,82
6674,55,7.5,58,50,100
8808,57,7.6,51,60,100
5901,50,6.3,53,51,76
6504,55,9.4,51,58,100
9053,72,7.8,50,75,100
9803,85,5.8,69,40,55
13098,118,8.0,52,72,100
12937,102,6.0,48,75,79
18799,138,8.1,60,53,100
